Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
F du Plessis,2,1,0,8,8,8,7,114.28,0,0,0,1,0
(Rising Pune Supergiant),,,,,,,,,,,,,
JP Faulkner,8,6,2,54,21,13.5,57,94.73,0,0,0,4,0
(Gujarat Lions),,,,,,,,,,,,,
LH Ferguson,4,1,1,1,1*,-,1,100,0,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,
AJ Finch,13,13,1,299,72,24.91,180,166.11,0,2,1,25,19
(Gujarat Lions),,,,,,,,,,,,,
G Gambhir,16,16,4,498,76*,41.5,389,128.02,0,4,0,62,7
(Kolkata Knight Riders),,,,,,,,,,,,,
CH Gayle,9,9,0,200,77,22.22,163,122.69,0,1,2,15,14
(Royal Challengers Bangalore),,,,,,,,,,,,,
MS Gony,1,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,
MJ Guptill,7,7,1,132,50*,22,88,150,0,1,1,17,5
(Kings XI Punjab),,,,,,,,,,,,,
Gurkeerat Singh,2,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,
Harbhajan Singh,11,7,5,16,7*,8,16,100,0,0,1,0,1
(Mumbai Indians),,,,,,,,,,,,,
TM Head,7,7,2,151,75*,30.2,108,139.81,0,1,1,9,6
(Royal Challengers Bangalore),,,,,,,,,,,,,
MC Henriques,12,11,5,277,55*,46.16,203,136.45,0,3,0,28,4
(Sunrisers Hyderabad),,,,,,,,,,,,,
MJ Henry,2,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,
DJ Hooda,10,6,3,78,19*,26,52,150,0,0,0,5,4
(Sunrisers Hyderabad),,,,,,,,,,,,,
Imran Tahir,12,1,1,0,0*,-,2,0,0,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,
Iqbal Abdulla,2,1,1,5,5*,-,7,71.42,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
Ishan Kishan,11,10,0,277,61,27.7,206,134.46,0,1,0,29,13
(Gujarat Lions),,,,,,,,,,,,,
SS Iyer,12,12,2,338,96,33.8,243,139.09,0,2,0,36,10
(Delhi Daredevils),,,,,,,,,,,,,
SP Jackson,4,3,1,38,16,19,31,122.58,0,0,0,5,0
(Kolkata Knight Riders),,,,,,,,,,,,,
RA Jadeja,12,10,6,158,28,39.5,113,139.82,0,0,0,13,4
(Gujarat Lions),,,,,,,,,,,,,
KM Jadhav,13,13,1,267,69,22.25,186,143.54,0,1,0,25,10
(Royal Challengers Bangalore),,,,,,,,,,,,,
IR Jaggi,2,2,1,33,28,33,39,84.61,0,0,0,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,
SB Jakati,2,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,
MG Johnson,5,3,3,20,13*,-,17,117.64,0,0,0,1,1
(Mumbai Indians),,,,,,,,,,,,,
CJ Jordan,1,1,0,0,0,0,1,0,0,0,1,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
KD Karthik,14,13,3,361,65,36.1,259,139.38,0,2,1,30,11
(Gujarat Lions),,,,,,,,,,,,,
S Kaul,10,1,1,0,0*,-,2,0,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
S Kaushik,3,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,
Z Khan,11,3,2,4,2,4,13,30.76,0,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,
V Kohli,10,10,0,308,64,30.8,252,122.22,0,4,1,23,11
(Royal Challengers Bangalore),,,,,,,,,,,,,
Kuldeep Yadav,12,2,0,20,16,10,22,90.9,0,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,
DS Kulkarni,6,1,0,1,1,1,2,50,0,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,
B Kumar,14,2,1,4,4*,4,4,100,0,0,1,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
P Kumar,6,2,1,8,7*,8,9,88.88,0,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,
CA Lynn,7,7,1,295,93*,49.16,163,180.98,0,3,0,25,19
(Kolkata Knight Riders),,,,,,,,,,,,,
MJ McClenaghan,14,7,3,16,12,4,15,106.66,0,0,2,0,1
(Mumbai Indians),,,,,,,,,,,,,
BB McCullum,11,11,0,319,72,29,217,147,0,2,0,29,18
(Gujarat Lions),,,,,,,,,,,,,
SL Malinga,12,2,2,7,7*,-,3,233.33,0,0,0,0,1
(Mumbai Indians),,,,,,,,,,,,,
Mandeep Singh,11,10,0,188,52,18.8,177,106.21,0,1,2,21,4
(Royal Challengers Bangalore),,,,,,,,,,,,,
SE Marsh,9,8,0,264,84,33,194,136.08,0,2,0,36,5
(Kings XI Punjab),,,,,,,,,,,,,
AD Mathews,3,2,0,32,31,16,27,118.51,0,0,0,2,1
(Delhi Daredevils),,,,,,,,,,,,,
GJ Maxwell,14,13,3,310,47,31,179,173.18,0,0,3,19,26
(Kings XI Punjab),,,,,,,,,,,,,
DA Miller,5,4,1,83,30*,27.66,80,103.75,0,0,0,4,4
(Kings XI Punjab),,,,,,,,,,,,,
TS Mills,5,3,0,8,6,2.66,11,72.72,0,0,1,0,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
AF Milne,4,3,1,7,5,3.5,12,58.33,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
A Mishra,14,6,5,49,13*,49,52,94.23,0,0,0,2,2
(Delhi Daredevils),,,,,,,,,,,,,
Mohammad Nabi,3,1,0,2,2,2,3,66.66,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
Mohammed Shami,8,6,2,36,21,9,24,150,0,0,0,4,2
(Delhi Daredevils),,,,,,,,,,,,,
Mohammed Siraj,6,-,-,-,-,-,-,-,-,-,-,-,-
(Sunrisers Hyderabad),,,,,,,,,,,,,
EJG Morgan,4,4,0,65,26,16.25,62,104.83,0,0,0,6,2
(Kings XI Punjab),,,,,,,,,,,,,
CH Morris,9,9,4,154,52*,30.8,94,163.82,0,1,0,15,6
(Delhi Daredevils),,,,,,,,,,,,,
Mustafizur Rahman,1,-,-,-,-,-,-,-,-,-,-,-,-
(Sunrisers Hyderabad),,,,,,,,,,,,,
S Nadeem,7,4,1,2,2,0.66,9,22.22,0,0,2,0,0
(Delhi Daredevils),,,,,,,,,,,,,
KK Nair,14,13,0,281,64,21.61,226,124.33,0,1,1,39,6
(Delhi Daredevils),,,,,,,,,,,,,
SP Narine,16,14,1,224,54,17.23,130,172.3,0,1,2,34,10
(Kolkata Knight Riders),,,,,,,,,,,,,
T Natarajan,6,-,-,-,-,-,-,-,-,-,-,-,-
(Kings XI Punjab),,,,,,,,,,,,,
P Negi,12,10,2,144,35,18,111,129.72,0,0,0,10,7
(Royal Challengers Bangalore),,,,,,,,,,,,,
A Nehra,6,2,2,0,0*,-,0,-,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
NV Ojha,14,5,1,79,34,19.75,65,121.53,0,0,0,2,3
(Sunrisers Hyderabad),,,,,,,,,,,,,
MK Pandey,14,13,5,396,81*,49.5,308,128.57,0,2,0,28,12
(Kolkata Knight Riders),,,,,,,,,,,,,
HH Pandya,17,16,9,250,35*,35.71,160,156.25,0,0,0,11,20
(Mumbai Indians),,,,,,,,,,,,,
KH Pandya,13,11,4,243,47,34.71,179,135.75,0,0,0,24,7
(Mumbai Indians),,,,,,,,,,,,,
RR Pant,14,14,0,366,97,26.14,221,165.61,0,2,3,28,24
(Delhi Daredevils),,,,,,,,,,,,,
AR Patel,14,13,5,227,44,28.37,162,140.12,0,0,1,11,11
(Kings XI Punjab),,,,,,,,,,,,,
HV Patel,1,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,
MM Patel,2,1,0,0,0,0,1,0,0,0,1,0,0
(Gujarat Lions),,,,,,,,,,,,,
PA Patel,16,16,0,395,70,24.68,293,134.81,0,2,2,49,8
(Mumbai Indians),,,,,,,,,,,,,
IK Pathan,1,1,0,2,2,2,3,66.66,0,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,
YK Pathan,15,11,3,143,59,17.87,115,124.34,0,1,1,9,6
(Kolkata Knight Riders),,,,,,,,,,,,,
KA Pollard,17,16,3,385,70,29.61,276,139.49,0,3,0,26,22
(Mumbai Indians),,,,,,,,,,,,,
K Rabada,6,3,0,55,44,18.33,64,85.93,0,0,1,5,1
(Delhi Daredevils),,,,,,,,,,,,,
AM Rahane,16,16,1,382,60,25.46,323,118.26,0,2,2,35,9
(Rising Pune Supergiant),,,,,,,,,,,,,
SK Raina,14,14,3,442,84,40.18,307,143.97,0,3,0,42,13
(Gujarat Lions),,,,,,,,,,,,,
AS Rajpoot,5,1,0,4,4,4,7,57.14,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,
N Rana,13,12,1,333,62*,30.27,264,126.13,0,3,0,24,17
(Mumbai Indians),,,,,,,,,,,,,
Rashid Khan,14,3,1,11,6*,5.5,9,122.22,0,0,0,0,1
(Sunrisers Hyderabad),,,,,,,,,,,,,
AT Rayudu,5,5,0,91,63,18.2,78,116.66,0,1,1,7,3
(Mumbai Indians),,,,,,,,,,,,,
JJ Roy,3,3,1,59,31,29.5,40,147.5,0,0,0,9,1
(Gujarat Lions),,,,,,,,,,,,,
Sachin Baby,3,3,0,15,12,5,15,100,0,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
WP Saha,14,11,1,234,93*,23.4,187,125.13,0,1,1,20,8
(Kings XI Punjab),,,,,,,,,,,,,
SV Samson,14,14,0,386,102,27.57,273,141.39,1,2,2,32,19
(Delhi Daredevils),,,,,,,,,,,,,
MN Samuels,5,4,0,29,27,7.25,31,93.54,0,0,1,1,2
(Delhi Daredevils),,,,,,,,,,,,,
Sandeep Sharma,13,4,4,7,5*,-,6,116.66,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,
PJ Sangwan,5,3,1,2,1*,1,4,50,0,0,1,0,0
(Gujarat Lions),,,,,,,,,,,,,
V Shankar,4,4,2,101,63*,50.5,75,134.66,0,1,0,12,1
(Sunrisers Hyderabad),,,,,,,,,,,,,
Shakib Al Hasan,1,1,1,1,1*,-,1,100,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,
I Sharma,6,3,1,8,5*,4,12,66.66,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,
KV Sharma,9,6,0,49,19,8.16,41,119.51,0,0,0,5,2
(Mumbai Indians),,,,,,,,,,,,,
MM Sharma,14,7,1,51,13,8.5,50,102,0,0,0,3,1
(Kings XI Punjab),,,,,,,,,,,,,
RG Sharma,17,16,2,333,67,23.78,273,121.97,0,3,1,31,9
(Mumbai Indians),,,,,,,,,,,,,
LMP Simmons,7,7,0,137,66,19.57,112,122.32,0,2,1,10,8
(Mumbai Indians),,,,,,,,,,,,,
NB Singh,2,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,
DR Smith,12,12,1,239,74,21.72,156,153.2,0,2,2,32,8
(Gujarat Lions),,,,,,,,,,,,,
SPD Smith,15,15,3,472,84*,39.33,387,121.96,0,3,0,38,12
(Rising Pune Supergiant),,,,,,,,,,,,,
TG Southee,3,1,0,7,7,7,3,233.33,0,0,0,0,1
(Mumbai Indians),,,,,,,,,,,,,
BB Sran,1,-,-,-,-,-,-,-,-,-,-,-,-
(Sunrisers Hyderabad),,,,,,,,,,,,,
B Stanlake,2,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,
MP Stoinis,5,3,0,17,9,5.66,24,70.83,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,
BA Stokes,12,11,1,316,103*,31.6,221,142.98,1,1,0,22,15
(Rising Pune Supergiant),,,,,,,,,,,,,
Swapnil Singh,4,2,0,12,10,6,19,63.15,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,
AP Tare,3,3,0,18,18,6,23,78.26,0,0,2,3,0
(Delhi Daredevils),,,,,,,,,,,,,
Tejas Baroka,1,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,
R Tewatia,3,2,1,19,15*,19,11,172.72,0,0,0,4,0
(Kings XI Punjab),,,,,,,,,,,,,
SN Thakur,12,3,0,0,0,0,3,0,0,0,3,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,
MK Tiwary,15,13,3,324,60,32.4,236,137.28,0,2,1,31,11
(Rising Pune Supergiant),,,,,,,,,,,,,
SS Tiwary,1,1,0,52,52,52,43,120.93,0,1,0,9,0
(Mumbai Indians),,,,,,,,,,,,,
RA Tripathi,14,14,0,391,93,27.92,267,146.44,0,2,1,43,17
(Rising Pune Supergiant),,,,,,,,,,,,,
AJ Tye,6,3,1,53,25,26.5,30,176.66,0,0,0,4,3
(Gujarat Lions),,,,,,,,,,,,,
JD Unadkat,12,2,2,2,2*,-,5,40,0,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,
RV Uthappa,14,13,0,388,87,29.84,235,165.1,0,5,1,36,21
(Kolkata Knight Riders),,,,,,,,,,,,,
R Vinay Kumar,1,-,-,-,-,-,-,-,-,-,-,-,-
(Mumbai Indians),,,,,,,,,,,,,
Vishnu Vinod,3,3,0,19,9,6.33,26,73.07,0,0,0,1,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
M Vohra,11,9,0,229,95,25.44,159,144.02,0,1,0,23,9
(Kings XI Punjab),,,,,,,,,,,,,
DA Warner,14,14,3,641,126,58.27,452,141.81,1,4,0,63,26
(Sunrisers Hyderabad),,,,,,,,,,,,,
Washington Sundar,11,5,4,9,5*,9,12,75,0,0,1,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,
SR Watson,8,7,1,71,24,11.83,78,91.02,0,0,0,6,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
KS Williamson,7,7,1,256,89,42.66,169,151.47,0,2,0,20,10
(Sunrisers Hyderabad),,,,,,,,,,,,,
CR Woakes,13,7,3,46,18,11.5,47,97.87,0,0,0,4,1
(Kolkata Knight Riders),,,,,,,,,,,,,
J Yadav,2,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,
SA Yadav,10,7,1,105,31,17.5,88,119.31,0,0,0,8,3
(Kolkata Knight Riders),,,,,,,,,,,,,
UT Yadav,14,4,4,10,4*,-,13,76.92,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,
Yuvraj Singh,12,11,2,252,70*,28,177,142.37,0,2,1,30,8
(Sunrisers Hyderabad),,,,,,,,,,,,,
A Zampa,6,1,0,5,5,5,7,71.42,0,0,0,1,0
(Rising Pune Supergiant),,,,,,,,,,,,,
