Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
V Kohli,14,-,-,-,-,-,-,-,-,-,-,-,8,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Kuldeep Yadav,16,16,51.2,0,418,17,4/20,24.58,8.14,18.1,1,0,6,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
DS Kulkarni,8,8,19.5,0,188,4,2/32,47,9.47,29.7,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
B Kumar,12,12,46.1,1,354,9,3/26,39.33,7.66,30.7,0,0,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
S Lamichhane,3,3,12,0,82,5,3/36,16.4,6.83,14.4,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
B Laughlin,7,7,20.5,0,211,9,2/15,23.44,10.12,13.8,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
E Lewis,13,-,-,-,-,-,-,-,-,-,-,-,3,0
(Mumbai Indians),,,,,,,,,,,,,,
MK Lomror,2,2,3,0,27,0,-,-,9,-,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
CA Lynn,16,-,-,-,-,-,-,-,-,-,-,-,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
MJ McClenaghan,11,11,40,0,332,14,2/22,23.71,8.3,17.1,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
BB McCullum,6,-,-,-,-,-,-,-,-,-,-,-,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Mandeep Singh,14,-,-,-,-,-,-,-,-,-,-,-,4,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Markande,14,14,44,0,368,15,4/23,24.53,8.36,17.6,1,0,3,0
(Mumbai Indians),,,,,,,,,,,,,,
GJ Maxwell,12,10,16,0,132,5,2/22,26.4,8.25,19.2,0,0,4,0
(Delhi Daredevils),,,,,,,,,,,,,,
DA Miller,3,-,-,-,-,-,-,-,-,-,-,-,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
A Mishra,10,10,37,1,264,12,3/19,22,7.13,18.5,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mohammad Nabi,2,2,5,0,47,1,1/23,47,9.4,30,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Mohammed Shami,4,4,13.5,0,144,3,1/29,48,10.4,27.6,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mohammed Siraj,11,11,41,0,367,11,3/25,33.36,8.95,22.3,0,0,5,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
CH Morris,4,4,14,0,143,3,2/41,47.66,10.21,28,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mujeeb Ur Rahman,11,11,41.2,0,289,14,3/27,20.64,6.99,17.7,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
C Munro,5,-,-,-,-,-,-,-,-,-,-,-,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mustafizur Rahman,7,7,27.3,0,230,7,3/24,32.85,8.36,23.5,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,,
S Nadeem,6,6,15,0,161,3,2/34,53.66,10.73,30,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
KK Nair,13,-,-,-,-,-,-,-,-,-,-,-,9,0
(Kings XI Punjab),,,,,,,,,,,,,,
SP Narine,16,16,61,0,467,17,3/18,27.47,7.65,21.5,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
P Negi,2,2,4,0,49,1,1/36,49,12.25,24,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
L Ngidi,7,7,26,2,156,11,4/10,14.18,6,14.1,1,0,1,0
(Chennai Super Kings),,,,,,,,,,,,,,
NV Ojha,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
MK Pandey,15,-,-,-,-,-,-,-,-,-,-,-,9,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
HH Pandya,13,13,42.4,0,381,18,3/24,21.16,8.92,14.2,0,0,8,0
(Mumbai Indians),,,,,,,,,,,,,,
KH Pandya,14,13,40.1,0,284,12,3/28,23.66,7.07,20,0,0,9,0
(Mumbai Indians),,,,,,,,,,,,,,
RR Pant,14,-,-,-,-,-,-,-,-,-,-,-,4,2
(Delhi Daredevils),,,,,,,,,,,,,,
AR Patel,9,8,26,0,218,3,1/21,72.66,8.38,52,0,0,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
HV Patel,5,5,17.3,0,167,7,3/28,23.85,9.54,15,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
PA Patel,6,-,-,-,-,-,-,-,-,-,-,-,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
YK Pathan,15,1,2,0,14,1,1/14,14,7,12,0,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
LE Plunkett,7,7,25,0,225,4,3/17,56.25,9,37.5,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
KA Pollard,9,-,-,-,-,-,-,-,-,-,-,-,4,0
(Mumbai Indians),,,,,,,,,,,,,,
M Prasidh Krishna,7,7,28,0,260,10,4/30,26,9.28,16.8,1,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
AM Rahane,15,-,-,-,-,-,-,-,-,-,-,-,4,0
(Rajasthan Royals),,,,,,,,,,,,,,
KL Rahul,14,-,-,-,-,-,-,-,-,-,-,-,10,1
(Kings XI Punjab),,,,,,,,,,,,,,
SK Raina,15,-,-,-,-,-,-,-,-,-,-,-,9,0
(Chennai Super Kings),,,,,,,,,,,,,,
AS Rajpoot,8,8,26.1,1,223,11,5/14,20.27,8.52,14.2,0,1,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
N Rana,15,5,6.1,0,44,4,2/11,11,7.13,9.2,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Rashid Khan,17,17,68,2,458,21,3/19,21.8,6.73,19.4,0,0,6,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
AT Rayudu,16,-,-,-,-,-,-,-,-,-,-,-,2,0
(Chennai Super Kings),,,,,,,,,,,,,,
JJ Roy,5,-,-,-,-,-,-,-,-,-,-,-,4,0
(Delhi Daredevils),,,,,,,,,,,,,,
AD Russell,16,15,37.5,0,355,13,3/31,27.3,9.38,17.4,0,0,8,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
WP Saha,11,-,-,-,-,-,-,-,-,-,-,-,5,1
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SV Samson,15,-,-,-,-,-,-,-,-,-,-,-,5,0
(Rajasthan Royals),,,,,,,,,,,,,,
Sandeep Sharma,12,12,44,0,333,12,2/17,27.75,7.56,22,0,0,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
PJ Sangwan,1,1,2,0,19,0,-,-,9.5,-,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
JPR Scantlebury-Searles,4,3,7,0,89,2,1/24,44.5,12.71,21,0,0,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
V Shankar,13,4,5,0,58,1,1/22,58,11.6,30,0,0,6,0
(Delhi Daredevils),,,,,,,,,,,,,,
Shakib Al Hasan,17,17,57,0,456,14,2/18,32.57,8,24.4,0,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
KV Sharma,6,5,9.3,0,89,4,2/13,22.25,9.36,14.2,0,0,3,0
(Chennai Super Kings),,,,,,,,,,,,,,
MM Sharma,9,9,29.4,0,322,7,2/33,46,10.85,25.4,0,0,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
RG Sharma,14,-,-,-,-,-,-,-,-,-,-,-,8,0
(Mumbai Indians),,,,,,,,,,,,,,
PP Shaw,9,-,-,-,-,-,-,-,-,-,-,-,4,0
(Delhi Daredevils),,,,,,,,,,,,,,
Shivam Mavi,9,9,28,0,270,5,1/14,54,9.64,33.6,0,0,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
DR Shorey,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
DJM Short,7,2,3,0,19,1,1/10,19,6.33,18,0,0,2,0
(Rajasthan Royals),,,,,,,,,,,,,,
Shubman Gill,13,-,-,-,-,-,-,-,-,-,-,-,3,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
RK Singh,4,-,-,-,-,-,-,-,-,-,-,-,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
IS Sodhi,6,6,23,0,135,5,1/14,27,5.86,27.6,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
TG Southee,8,8,29,0,261,5,3/30,52.2,9,34.8,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
BB Sran,6,6,22,0,229,4,2/50,57.25,10.4,33,0,0,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
B Stanlake,4,4,16,0,130,5,2/21,26,8.12,19.2,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
MP Stoinis,7,6,11,0,120,3,1/15,40,10.9,22,0,0,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
BA Stokes,13,12,37,1,303,8,3/15,37.87,8.18,27.7,0,0,6,0
(Rajasthan Royals),,,,,,,,,,,,,,
R Tewatia,8,8,22,0,173,6,3/18,28.83,7.86,22,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
SN Thakur,13,13,46.4,1,431,16,2/18,26.93,9.23,17.5,0,0,4,0
(Chennai Super Kings),,,,,,,,,,,,,,
MK Tiwary,5,1,1,0,10,0,-,-,10,-,0,0,4,0
(Kings XI Punjab),,,,,,,,,,,,,,
RA Tripathi,12,-,-,-,-,-,-,-,-,-,-,-,4,0
(Rajasthan Royals),,,,,,,,,,,,,,
AJ Tye,14,14,56,0,448,24,4/16,18.66,8,14,3,0,5,0
(Kings XI Punjab),,,,,,,,,,,,,,
JD Unadkat,15,15,50.2,0,486,11,3/46,44.18,9.65,27.4,0,0,6,0
(Rajasthan Royals),,,,,,,,,,,,,,
RV Uthappa,16,-,-,-,-,-,-,-,-,-,-,-,5,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
M Vijay,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
R Vinay Kumar,2,2,3.5,0,65,2,2/30,32.5,16.95,11.5,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
M Vohra,4,-,-,-,-,-,-,-,-,-,-,-,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Washington Sundar,7,7,20,0,192,4,2/22,48,9.6,30,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
SR Watson,15,11,28,0,251,6,2/29,41.83,8.96,28,0,0,3,0
(Chennai Super Kings),,,,,,,,,,,,,,
DJ Willey,3,3,10,0,95,2,1/24,47.5,9.5,30,0,0,2,0
(Chennai Super Kings),,,,,,,,,,,,,,
KS Williamson,17,-,-,-,-,-,-,-,-,-,-,-,6,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
CR Woakes,5,5,18.2,0,190,8,3/36,23.75,10.36,13.7,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MA Wood,1,1,4,0,49,0,-,-,12.25,-,0,0,1,0
(Chennai Super Kings),,,,,,,,,,,,,,
SA Yadav,14,-,-,-,-,-,-,-,-,-,-,-,8,0
(Mumbai Indians),,,,,,,,,,,,,,
UT Yadav,14,14,53.1,1,418,20,3/23,20.9,7.86,15.9,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Yuvraj Singh,8,2,2,0,23,0,-,-,11.5,-,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
