Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
AF Milne,4,4,14,0,134,3,2/27,44.66,9.57,28,0,0,4,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
A Mishra,14,14,38.5,1,343,10,3/11,34.3,8.83,23.3,0,0,3,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mohammad Nabi,3,3,11,0,58,2,1/13,29,5.27,33,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Mohammed Shami,8,8,26,0,243,5,2/36,48.6,9.34,31.2,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mohammed Siraj,6,6,23,0,212,10,4/32,21.2,9.21,13.8,1,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
EJG Morgan,4,-,-,-,-,-,-,-,-,-,-,-,3,0
(Kings XI Punjab),,,,,,,,,,,,,,
CH Morris,9,9,31,0,240,12,4/26,20,7.74,15.5,1,0,5,0
(Delhi Daredevils),,,,,,,,,,,,,,
Mustafizur Rahman,1,1,2.4,0,34,0,-,-,12.75,-,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
S Nadeem,7,7,17.5,0,119,6,2/13,19.83,6.67,17.8,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
KK Nair,14,-,-,-,-,-,-,-,-,-,-,-,2,0
(Delhi Daredevils),,,,,,,,,,,,,,
SP Narine,16,15,59,0,412,10,2/29,41.2,6.98,35.4,0,0,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
T Natarajan,6,6,12.4,0,115,2,1/26,57.5,9.07,38,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
P Negi,12,12,32.1,0,197,16,3/10,12.31,6.12,12,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
A Nehra,6,6,21.1,0,197,8,3/42,24.62,9.3,15.8,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
NV Ojha,14,-,-,-,-,-,-,-,-,-,-,-,6,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
MK Pandey,14,-,-,-,-,-,-,-,-,-,-,-,8,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
HH Pandya,17,13,26,0,213,6,2/22,35.5,8.19,26,0,0,12,0
(Mumbai Indians),,,,,,,,,,,,,,
KH Pandya,13,13,40,0,273,10,3/14,27.3,6.82,24,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,,
RR Pant,14,-,-,-,-,-,-,-,-,-,-,-,8,3
(Delhi Daredevils),,,,,,,,,,,,,,
AR Patel,14,14,48,0,362,15,3/11,24.13,7.54,19.2,0,0,7,0
(Kings XI Punjab),,,,,,,,,,,,,,
HV Patel,1,1,4,0,43,3,3/43,14.33,10.75,8,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MM Patel,2,2,7,0,57,1,1/35,57,8.14,42,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
PA Patel,16,-,-,-,-,-,-,-,-,-,-,-,6,2
(Mumbai Indians),,,,,,,,,,,,,,
IK Pathan,1,1,2,0,26,0,-,-,13,-,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
YK Pathan,15,4,4,0,41,1,1/2,41,10.25,24,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
KA Pollard,17,1,1.5,0,30,0,-,-,16.36,-,0,0,15,0
(Mumbai Indians),,,,,,,,,,,,,,
K Rabada,6,6,21.2,0,188,6,2/20,31.33,8.81,21.3,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
AM Rahane,16,-,-,-,-,-,-,-,-,-,-,-,6,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
SK Raina,14,6,12,0,102,1,1/11,102,8.5,72,0,0,4,0
(Gujarat Lions),,,,,,,,,,,,,,
AS Rajpoot,5,5,14,0,107,4,3/37,26.75,7.64,21,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
N Rana,13,-,-,-,-,-,-,-,-,-,-,-,4,0
(Mumbai Indians),,,,,,,,,,,,,,
Rashid Khan,14,14,54,0,358,17,3/19,21.05,6.62,19,0,0,5,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
AT Rayudu,5,-,-,-,-,-,-,-,-,-,-,-,3,0
(Mumbai Indians),,,,,,,,,,,,,,
JJ Roy,3,-,-,-,-,-,-,-,-,-,-,-,1,0
(Gujarat Lions),,,,,,,,,,,,,,
Sachin Baby,3,-,-,-,-,-,-,-,-,-,-,-,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
WP Saha,14,-,-,-,-,-,-,-,-,-,-,-,10,2
(Kings XI Punjab),,,,,,,,,,,,,,
SV Samson,14,-,-,-,-,-,-,-,-,-,-,-,4,0
(Delhi Daredevils),,,,,,,,,,,,,,
MN Samuels,5,2,3,0,34,0,-,-,11.33,-,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
Sandeep Sharma,13,13,48,0,398,17,4/20,23.41,8.29,16.9,1,0,3,0
(Kings XI Punjab),,,,,,,,,,,,,,
PJ Sangwan,5,5,18,0,181,5,2/38,36.2,10.05,21.6,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
V Shankar,4,-,-,-,-,-,-,-,-,-,-,-,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Shakib Al Hasan,1,1,3,0,31,0,-,-,10.33,-,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
I Sharma,6,6,18,0,179,0,-,-,9.94,-,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
KV Sharma,9,9,30.4,0,214,13,4/16,16.46,6.97,14.1,1,0,3,0
(Mumbai Indians),,,,,,,,,,,,,,
MM Sharma,14,14,45.4,0,410,13,2/24,31.53,8.97,21,0,0,3,0
(Kings XI Punjab),,,,,,,,,,,,,,
RG Sharma,17,-,-,-,-,-,-,-,-,-,-,-,10,0
(Mumbai Indians),,,,,,,,,,,,,,
LMP Simmons,7,-,-,-,-,-,-,-,-,-,-,-,2,0
(Mumbai Indians),,,,,,,,,,,,,,
NB Singh,2,2,4,0,15,1,1/7,15,3.75,24,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
DR Smith,12,9,13,0,148,2,1/10,74,11.38,39,0,0,3,0
(Gujarat Lions),,,,,,,,,,,,,,
SPD Smith,15,-,-,-,-,-,-,-,-,-,-,-,7,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
TG Southee,3,3,10,1,96,3,2/39,32,9.6,20,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
BB Sran,1,1,2,0,29,0,-,-,14.5,-,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
B Stanlake,2,2,8,0,70,2,2/29,35,8.75,24,0,0,1,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
MP Stoinis,5,5,10.3,0,110,2,1/28,55,10.47,31.5,0,0,3,0
(Kings XI Punjab),,,,,,,,,,,,,,
BA Stokes,12,12,44,1,316,12,3/18,26.33,7.18,22,0,0,5,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
Swapnil Singh,4,4,7,0,61,1,1/14,61,8.71,42,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
AP Tare,3,-,-,-,-,-,-,-,-,-,-,-,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
Tejas Baroka,1,1,3.3,0,33,0,-,-,9.42,-,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
R Tewatia,3,3,9,0,49,3,2/18,16.33,5.44,18,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
SN Thakur,12,12,38.1,0,315,11,3/19,28.63,8.25,20.8,0,0,4,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
MK Tiwary,15,-,-,-,-,-,-,-,-,-,-,-,6,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
SS Tiwary,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Mumbai Indians),,,,,,,,,,,,,,
RA Tripathi,14,1,1,0,12,0,-,-,12,-,0,0,5,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
AJ Tye,6,6,21,0,141,12,5/17,11.75,6.71,10.5,0,1,0,0
(Gujarat Lions),,,,,,,,,,,,,,
JD Unadkat,12,12,45.5,3,322,24,5/30,13.41,7.02,11.4,0,1,9,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
RV Uthappa,14,-,-,-,-,-,-,-,-,-,-,-,9,6
(Kolkata Knight Riders),,,,,,,,,,,,,,
R Vinay Kumar,1,1,3,0,31,2,2/31,15.5,10.33,9,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
Vishnu Vinod,3,-,-,-,-,-,-,-,-,-,-,-,0,2
(Royal Challengers Bangalore),,,,,,,,,,,,,,
M Vohra,11,-,-,-,-,-,-,-,-,-,-,-,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
DA Warner,14,-,-,-,-,-,-,-,-,-,-,-,10,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Washington Sundar,11,10,30,0,185,8,3/16,23.12,6.16,22.5,0,0,5,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
SR Watson,8,8,26.5,0,245,5,1/16,49,9.13,32.2,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
KS Williamson,7,-,-,-,-,-,-,-,-,-,-,-,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
CR Woakes,13,13,44,0,386,17,3/6,22.7,8.77,15.5,0,0,6,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
J Yadav,2,2,6,0,42,0,-,-,7,-,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
SA Yadav,10,-,-,-,-,-,-,-,-,-,-,-,5,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
UT Yadav,14,14,48.3,0,410,17,4/33,24.11,8.45,17.1,1,0,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
Yuvraj Singh,12,2,2,0,22,1,1/6,22,11,12,0,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
A Zampa,6,6,19.5,0,163,7,2/22,23.28,8.21,17,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,,
